I|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:078 |     |240   |(e8)|Telegram ID 1000D received
I|23.07.2009 15:00:40:078 |     |243   |(e8)|Telegram sAPPLIKATION ApId 10 processed
T|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram ID 1000D received
I|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram sAPPLIKATION ApId F3 processed
T|23.07.2009 15:00:40:156 |     |240   |(e8)|Telegram ID 10009 received
I|23.07.2009 15:00:40:156 |     |243   |(e8)|Telegram aKENNDATEN processed
T|23.07.2009 15:00:40:156 |     |243   |(94)|Telegram ID 10009 received
I|23.07.2009 15:00:40:156 |     |243   |(94)|Telegram aKENNDATEN processed
T|23.07.2009 15:00:40:171 |     |243   |(94)|Telegram ID 8C received
I|23.07.2009 15:00:40:171 |     |243   |(94)|Telegram iSYSTEMANZ processed
T|23.07.2009 15:00:40:171 |     |243   |(94)|Telegram ID A5 received
I|23.07.2009 15:00:40:171 |     |243   |(94)|Telegram sNACHANZLOESCHEN processed
T|23.07.2009 15:00:40:171 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:171 |     |243   |(94)|Telegram iGGANZ(2, 0) received
T|23.07.2009 15:00:40:171 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:171 |     |243   |(94)|Telegram iGGANZ(68, 555) received
T|23.07.2009 15:00:40:171 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:171 |     |243   |(94)|Telegram iGGANZ(4, -1) received
T|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram ID 2B6 received
I|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram iDFRALLGANZ2 processed
T|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram iGGANZ(12, 0) received
T|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram ID 2B5 received
I|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram iFILTERANZ processed
T|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram iGGANZ(13, 0) received
T|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram ID 333 received
I|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram iRASTERANZ processed
T|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:187 |     |243   |(94)|Telegram iGGANZ(10, -1) received
T|23.07.2009 15:00:40:218 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:218 |     |243   |(94)|Telegram iGGANZ(18, 0) received
T|23.07.2009 15:00:40:218 |     |243   |(94)|Telegram ID 2B6 received
I|23.07.2009 15:00:40:218 |     |243   |(94)|Telegram iDFRALLGANZ2 processed
T|23.07.2009 15:00:40:234 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:234 |     |243   |(94)|Telegram iGGANZ(19, 0) received
T|23.07.2009 15:00:40:234 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:234 |     |243   |(94)|Telegram iGGANZ(69, 0) received
T|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram ID 2B5 received
I|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram iFILTERANZ processed
T|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram iGGANZ(28, 49) received
T|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram iGGANZ(26, 2) received
T|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram ID 7A received
I|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram iTBANZ processed
T|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram iGGANZ(106, 0) received
T|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram ID 26B received
I|23.07.2009 15:00:40:250 |     |243   |(94)|Telegram iBLENDEANZ processed
T|23.07.2009 15:00:40:265 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:265 |     |243   |(94)|Telegram iGGANZ(98, 3) received
T|23.07.2009 15:00:40:265 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:265 |     |243   |(94)|Telegram iGGANZ(90, 3) received
T|23.07.2009 15:00:40:265 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:265 |     |243   |(94)|Telegram iGGANZ(91, 5) received
T|23.07.2009 15:00:40:281 |     |243   |(94)|Telegram ID 7A received
I|23.07.2009 15:00:40:281 |     |243   |(94)|Telegram iTBANZ processed
T|23.07.2009 15:00:40:281 |     |243   |(94)|Telegram ID 26B received
I|23.07.2009 15:00:40:281 |     |243   |(94)|Telegram iBLENDEANZ processed
T|23.07.2009 15:00:40:281 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:281 |     |243   |(94)|Telegram iGGANZ(27, 2) received
T|23.07.2009 15:00:40:296 |     |243   |(94)|Telegram ID 7A received
I|23.07.2009 15:00:40:296 |     |243   |(94)|Telegram iTBANZ processed
T|23.07.2009 15:00:40:296 |     |243   |(94)|Telegram ID 2B6 received
I|23.07.2009 15:00:40:296 |     |243   |(94)|Telegram iDFRALLGANZ2 processed
T|23.07.2009 15:00:40:296 |     |243   |(94)|Telegram ID 26B received
I|23.07.2009 15:00:40:296 |     |243   |(94)|Telegram iBLENDEANZ processed
T|23.07.2009 15:00:40:296 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:296 |     |243   |(94)|Telegram iGGANZ(3, 0) received
T|23.07.2009 15:00:40:312 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:312 |     |243   |(94)|Telegram iGGANZ(68, 0) received
T|23.07.2009 15:00:40:312 |     |243   |(94)|Telegram ID 7A received
I|23.07.2009 15:00:40:312 |     |243   |(94)|Telegram iTBANZ processed
T|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram ID 26B received
I|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram iBLENDEANZ processed
T|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram iGGANZ(4, 4565) received
T|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram iGGANZ(10, 5281) received
T|23.07.2009 15:00:40:328 |     |243   |(94)|Telegram ID 7A received
